         x            rho             ux             p
-4.99500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.98500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.97500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.96500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.95500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.94500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.93500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.92500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.91500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.90500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.89500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.88500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.87500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.86500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.85500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.84500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.83500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.82500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.81500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.80500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.79500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.78500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.77500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.76500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.75500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.74500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.73500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.72500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.71500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.70500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.69500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.68500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.67500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.66500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.65500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.64500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.63500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.62500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.61500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.60500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.59500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.58500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.57500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.56500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.55500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.54500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.53500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.52500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.51500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.50500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.49500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.48500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.47500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.46500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.45500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.44500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.43500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.42500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.41500E-01    8.00000E+00    0.00000E+00    4.80000E+02
-4.40500E-01    8.00000E+00    0.00000E+00    4.80000E+02
